baseline,grounding_model,mean_ece,variance_ece,mean_T,mean_C

lexical_similarity_min_max_scaled,baseline,0.1661020215423494,1.6048985337356506e-05,,
lexical_similarity_min_max_scaled,temperature_scaled,0.05529438400826034,0.0,1.901803607214429,
lexical_similarity_min_max_scaled,grounding_grounding_sam_mean_min_max_scaled,0.03880930406373871,0.0001141,1.1810821643286578,0.44000000000000006
lexical_similarity_min_max_scaled,grounding_qwen_vl_mean_min_max_scaled,0.07965533983940129,0.0001054,1.581482965931864,0.5
lexical_similarity_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.049530074690333034,0.0001939,1.6215230460921846,0.41
lexical_similarity_min_max_scaled,grounding_clip_mean_min_max_scaled,0.04150225308420237,0.0001306,3.383286573146293,0.386

num_clusters_min_max_scaled,baseline,0.41792941656466753,1.972655433226801e-05,,
num_clusters_min_max_scaled,temperature_scaled,0.26234467298601855,0.0,5.625531062124248,
num_clusters_min_max_scaled,grounding_grounding_sam_mean_min_max_scaled,0.1341549144075058,0.0001444,11.191102204408818,0.5
num_clusters_min_max_scaled,grounding_qwen_vl_mean_min_max_scaled,0.13611191030436415,0.0004264,38.77871743486975,0.5
num_clusters_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.1290301067503456,0.0001779,7.627535070140281,0.49800000000000005
num_clusters_min_max_scaled,grounding_clip_mean_min_max_scaled,0.1381961664789688,0.0002666,15.275190380761524,0.5

confidence_from_semantic_entropy_min_max_scaled,baseline,0.10453697962365345,2.535947501182241e-05,,
confidence_from_semantic_entropy_min_max_scaled,temperature_scaled,0.10820613262864875,0.0,1.0609619238476955,
confidence_from_semantic_entropy_min_max_scaled,grounding_grounding_sam_mean_min_max_scaled,0.032966521364731396,8.89e-05,1.6215230460921846,0.31799999999999995
confidence_from_semantic_entropy_min_max_scaled,grounding_qwen_vl_mean_min_max_scaled,0.09441330635505403,0.0001271,31.25118236472946,0.5
confidence_from_semantic_entropy_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.047752948208973696,0.000214,4.304208416833667,0.32799999999999996
confidence_from_semantic_entropy_min_max_scaled,grounding_clip_mean_min_max_scaled,0.039704108896782525,2.27e-05,3.103006012024048,0.20400000000000001

confidence_from_predictive_entropy_min_max_scaled,baseline,0.44526464497194984,1.1541000031421074e-05,,
confidence_from_predictive_entropy_min_max_scaled,temperature_scaled,0.20258550612058304,0.0,7.627535070140281,
confidence_from_predictive_entropy_min_max_scaled,grounding_grounding_sam_mean_min_max_scaled,0.12670562212881206,5.73e-05,4.3442484969939885,0.5
confidence_from_predictive_entropy_min_max_scaled,grounding_qwen_vl_mean_min_max_scaled,0.1337359237983277,0.0001275,1.7016032064128261,0.5
confidence_from_predictive_entropy_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.11445499652089572,0.0002003,0.8607615230460922,0.496
confidence_from_predictive_entropy_min_max_scaled,grounding_clip_mean_min_max_scaled,0.1285297577706098,7.27e-05,8.188096192384771,0.496
